Nr	Frage	Frage beschreibung	SPD	CDU/CSU	GRÜNE	FDP	AfD	LINKE	SSW	FREIE WÄHLER	Tierschutz	DieBasis	PARTEI	Todenhöfer	PIRATEN	Volt	ÖDP	Verjüngung	PdH	Bündnis C	BP	MLPD	MENSCHLICHE WELT	PdF	SGP	BüSo	BÜNDNIS DEUTSCHLAND	BSW	MERA25	WerteUnion
12	Nutzung der Kernenergie	Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.	n	j	n	j	j	n	n	j	n	n	n	j	n	n	n	m	n	j	j	n	n	n	n	j	j	j	n	j
13	Verbot von Verbrennungsmotoren	Ab 2035 sollen EU-weit keine Autos mit Verbrennungsmotor mehr neu zugelassen werden dürfen.	j	n	j	n	n	j	j	n	j	n	j	n	j	j	j	m	j	n	n	j	j	j	j	n	n	n	j	n
14	Schuldenbremse	Die im Grundgesetz verankerte Schuldenbremse soll abgeschafft werden.	n	n	j	n	n	j	j	n	j	j	j	j	j	j	j	m	j	n	n	j	j	j	j	n	n	j	j	n
15	Waffenlieferungen an die Ukraine	Deutschland soll der Ukraine auch Marschflugkörper liefern.	n	j	j	j	n	n	n	j	n	n	j	n	n	j	n	m	n	j	n	n	n	n	n	n	n	n	n	n
16	Gesetzliche Krankenkasse	Alle Bürgerinnen und Bürger sollen in gesetzlichen Krankenkassen versichert sein müssen.	j	n	j	n	n	j	j	n	j	j	j	j	j	j	j	m	j	n	n	j	j	j	j	n	n	j	j	n
17	Einbürgerung	Die Einbürgerung von Ausländerinnen und Ausländern soll erleichtert werden.	j	n	j	n	n	j	j	n	j	n	j	n	j	j	j	m	j	n	n	j	j	j	j	n	n	n	j	n
18	Gendergerechte Sprache	Öffentliche Einrichtungen sollen gendergerechte Sprache verwenden müssen.	n	n	j	n	n	j	n	n	j	n	j	n	j	j	j	m	j	n	n	j	j	j	j	n	n	n	n	n
19	Vermögenssteuer	Auf hohe Vermögen soll wieder eine Vermögenssteuer erhoben werden.	j	n	j	n	n	j	j	n	j	j	j	j	j	j	j	m	j	n	n	j	j	j	j	n	n	j	j	n
20	Sanktionen gegen Russland	Die Wirtschaftssanktionen gegen Russland sollen aufgehoben werden.	n	n	n	n	j	j	n	n	n	j	n	j	n	n	n	m	n	j	j	n	n	n	n	j	j	j	n	j
21	Bundeswehr-Einsätze	Die Bundeswehr soll sich weiterhin an UN-Friedensmissionen beteiligen.	j	j	j	j	n	n	j	j	n	n	j	n	j	j	j	m	j	j	n	n	n	j	n	n	j	n	j	n
22	Entwicklungszusammenarbeit	Deutschland soll seine Ausgaben für die Entwicklungszusammenarbeit kürzen.	n	n	n	j	j	n	n	j	n	j	n	j	n	n	n	m	n	j	j	n	n	n	n	j	j	j	n	j
23	Europäische Integration	Die europäische Integration soll weiter vertieft werden.	j	j	j	j	n	j	j	n	j	n	j	n	j	j	j	m	j	n	n	j	j	j	j	n	n	n	j	n
24	Bargeld	Das Recht auf Bargeld soll im Grundgesetz verankert werden.	j	j	n	j	j	j	j	j	j	j	n	j	n	n	j	m	n	j	j	j	j	j	j	j	j	j	n	j
25	Senkung des Wahlalters	Bei Bundestagswahlen soll das Wahlalter auf 16 Jahre gesenkt werden.	j	n	j	j	n	j	j	n	j	n	j	n	j	j	j	m	j	n	n	j	j	j	j	n	n	n	j	n
26	Vergesellschaftung von Unternehmen	Große Unternehmen sollen leichter vergesellschaftet werden können.	n	n	j	n	n	j	n	n	j	j	j	j	j	j	j	m	j	n	n	j	j	j	j	n	n	j	j	n
27	Bundeswehr-Finanzierung	Die Bundeswehr soll dauerhaft mehr als zwei Prozent des Bruttoinlandsprodukts für Verteidigung ausgeben.	j	j	j	j	j	n	n	j	n	n	n	n	n	j	n	m	n	j	j	n	n	n	n	n	j	n	n	j
28	Asylverfahren	Asylverfahren sollen auch außerhalb der Europäischen Union durchgeführt werden können.	j	j	n	j	j	n	n	j	n	j	n	j	n	n	n	m	n	j	j	n	n	n	n	j	j	j	n	j
29	Cannabis-Legalisierung	Der Besitz von Cannabis soll in Deutschland legal bleiben.	j	n	j	j	n	j	j	n	j	n	j	n	j	j	j	m	j	n	n	j	j	j	j	n	n	n	j	n
30	Grundsteuer	Die Grundsteuer soll weiterhin auf Mieterinnen und Mieter umgelegt werden dürfen.	n	j	n	j	j	n	n	j	n	n	n	j	n	n	n	m	n	j	j	n	n	n	n	j	j	j	n	j
31	Streikrecht	Das Streikrecht für Beschäftigte in Unternehmen der kritischen Infrastruktur soll gesetzlich eingeschränkt werden.	n	m	n	j	j	n	n	j	n	n	n	j	n	n	n	m	n	j	j	n	n	n	n	j	j	j	n	j
32	Volksentscheide	In Deutschland soll es auf Bundesebene Volksentscheide geben können.	m	n	n	j	j	j	j	j	j	j	j	j	j	j	j	m	j	j	j	j	j	j	j	j	j	j	j	j
33	Klimaneutralität	Deutschland soll das Ziel der Klimaneutralität bis 2045 aufgeben.	n	n	n	j	j	n	n	j	n	j	n	j	n	n	n	m	n	j	j	n	n	n	n	j	j	j	n	j
34	Sozialleistungen für EU-Bürger	EU-Bürgerinnen und -Bürger sollen erst nach fünf Jahren Aufenthalt in Deutschland Anspruch auf Sozialleistungen haben.	j	j	n	j	j	n	n	j	n	j	n	j	n	n	n	m	n	j	j	n	n	n	n	j	j	j	n	j
35	Sondervermögen Bundeswehr	Das Sondervermögen für die Bundeswehr soll nach seiner Ausschöpfung erneuert werden.	j	j	j	j	j	n	n	j	n	n	n	n	n	j	n	m	n	j	j	n	n	n	n	n	j	n	n	j
36	Verbot von Öl- und Gasheizungen	Neue Heizungen sollen nicht ausschließlich mit fossilen Brennstoffen betrieben werden dürfen.	j	n	j	n	n	j	j	n	j	n	j	n	j	j	j	m	j	n	n	j	j	j	j	n	n	n	j	n
37	Mindestlohn	Der gesetzliche Mindestlohn soll bis 2026 auf 15 Euro pro Stunde steigen.	j	n	j	n	n	j	j	n	j	n	j	n	j	j	j	m	j	n	n	j	j	j	j	n	n	n	j	n
38	Parteienfinanzierung	Die staatliche Parteienfinanzierung soll gekürzt werden.	j	n	j	n	j	j	j	j	j	j	j	j	j	j	j	m	j	n	j	j	j	j	j	j	j	j	j	n
